Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
4003,SplashDown: Rides Gone Wild,PS2,2003,Racing,THQ,0.24,0.19,0.0,0.06,0.5,0.49,0.010000000000000009,0.4054651081081644,0.2151113796169455,0.173953307123438,0.0,Transition,0.038201030442444536
4004,Super Famista 5,SNES,1996,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,RPG Dominance,0.028484020967575588
4005,Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5,0.51,-0.010000000000000009,0.4054651081081644,0.08617769624105233,0.06765864847381481,0.2776317365982795,Shooter Boom,0.028484020967575588
4006,Shrek SuperSlam,PS2,2005,Action,Activision,0.24,0.19,0.0,0.06,0.5,0.49,0.010000000000000009,0.4054651081081644,0.2151113796169455,0.173953307123438,0.0,Shooter Boom,0.08154978902385981
4007,Rayman Advance,GBA,2001,Platform,Ubisoft,0.36,0.13,0.0,0.01,0.5,0.5,0.0,0.4054651081081644,0.3074846997479606,0.12221763272424921,0.0,Transition,0.053217105882669466
4008,Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,Shooter Boom,0.028484020967575588
4009,PoPoLoCrois Monogatari,PS,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,0.49,0.010000000000000009,0.4054651081081644,0.0,0.0,0.3784364357202451,RPG Dominance,0.06810202187336051
4010,Tomb Raider: Anniversary,PS2,2007,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5,0.5,0.0,0.4054651081081644,0.3435897043900769,0.019802627296179712,0.0,Shooter Boom,0.011095865226378968
4011,Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0.0,0.07,0.5,0.49,0.010000000000000009,0.4054651081081644,0.3435897043900769,0.009950330853168083,0.0,Shooter Boom,0.08154978902385981
4012,Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.2,0.0,0.08,0.5,0.49000000000000005,0.009999999999999953,0.4054651081081644,0.1906203596086497,0.18232155679395462,0.0,Post-Peak,0.013447767150499303
4013,Men in Black II: Alien Escape,PS2,2002,Shooter,Infogrames,0.24,0.19,0.0,0.06,0.5,0.49,0.010000000000000009,0.4054651081081644,0.2151113796169455,0.173953307123438,0.0,Transition,0.001831748209729565
4014,The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5,0.5,0.0,0.4054651081081644,0.22314355131420976,0.18232155679395462,0.009950330853168083,Post-Peak,0.009208065969840052
4015,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5,0.5,0.0,0.4054651081081644,0.3784364357202451,0.0295588022415444,0.0,Early Emergence,0.01762469115873208
4016,Nicktoons: Attack of the Toybots,PS2,2007,Platform,THQ,0.24,0.19,0.0,0.06,0.5,0.49,0.010000000000000009,0.4054651081081644,0.2151113796169455,0.173953307123438,0.0,Shooter Boom,0.038201030442444536
4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5,0.5,0.0,0.4054651081081644,0.3784364357202451,0.0295588022415444,0.0,Early Emergence,0.01762469115873208
4018,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5,0.5,0.0,0.4054651081081644,0.3784364357202451,0.0295588022415444,0.0,Early Emergence,5.605104680935021e-05
4019,Ridge Racer 3D,3DS,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5,0.49,0.010000000000000009,0.4054651081081644,0.173953307123438,0.13976194237515868,0.11332868530700317,Shooter Boom,0.028484020967575588
4020,Cars Mater-National Championship,Wii,2007,Racing,THQ,0.46,0.0,0.0,0.04,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.3784364357202451,0.0,0.0,Shooter Boom,0.038201030442444536
4021,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,0.48999999999999994,5.551115123125783e-17,0.3987761199573678,0.26236426446749106,0.11332868530700317,0.0295588022415444,Shooter Boom,0.028484020967575588
4022,Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49,0.49,0.0,0.3987761199573678,0.14842000511827327,0.15700374880966475,0.12221763272424921,Shooter Boom,0.022520189587060726
4023,Super Monkey Ball 3D,3DS,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.23111172096338664,0.13976194237515868,0.04879016416943201,Shooter Boom,0.030602750536969026
4024,Tony Hawk's Project 8,X360,2006,Sports,Activision,0.44,0.02,0.0,0.04,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.36464311358790924,0.019802627296179712,0.0,Shooter Boom,0.08154978902385981
4025,Tony Hawk's Underground 2,GBA,2004,Sports,Activision,0.35,0.13,0.0,0.01,0.49,0.49,0.0,0.3987761199573678,0.30010459245033805,0.12221763272424921,0.0,Transition,0.08154978902385981
4026,MotorStorm: Apocalypse,PS3,2011,Racing,Sony Computer Entertainment,0.21,0.2,0.0,0.08,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.1906203596086497,0.18232155679395462,0.0,Shooter Boom,0.06810202187336051
4027,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0.0,0.01,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.3784364357202451,0.0295588022415444,0.0,Early Emergence,0.08154978902385981
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,Post-Peak,0.016274981951562927
4029,Lego Batman 3: Beyond Gotham,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.29,0.0,0.11,0.49,0.49,0.0,0.3987761199573678,0.08617769624105233,0.2546422183735807,0.0,Post-Peak,0.01725139118698181
4030,The Matrix: Path of Neo,PS2,2005,Action,Atari,0.41,0.01,0.0,0.07,0.49,0.49,0.0,0.3987761199573678,0.3435897043900769,0.009950330853168083,0.0,Shooter Boom,0.01762469115873208
4031,Kane & Lynch 2: Dog Days,X360,2010,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.18232155679395462,0.20701416938432615,0.009950330853168083,Shooter Boom,0.016274981951562927
4032,Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.27002713721306015,0.12221763272424921,0.019802627296179712,Post-Peak,0.01725139118698181
4033,WWE Wrestlemania X8,GC,2002,Fighting,THQ,0.38,0.1,0.0,0.01,0.49,0.49,0.0,0.3987761199573678,0.32208349916911333,0.09531017980432487,0.0,Transition,0.038201030442444536
4034,Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.15,0.07,0.03,0.49,0.49,0.0,0.3987761199573678,0.2151113796169455,0.13976194237515868,0.06765864847381481,Post-Peak,0.030602750536969026
4035,Power Rangers: Dino Thunder,GBA,2003,Action,THQ,0.35,0.13,0.0,0.01,0.49,0.49,0.0,0.3987761199573678,0.30010459245033805,0.12221763272424921,0.0,Transition,0.038201030442444536
4036,GoldenEye: Rogue Agent,XB,2004,Shooter,Electronic Arts,0.34,0.13,0.0,0.02,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.29266961396282,0.12221763272424921,0.0,Transition,0.12446919658671544
4037,Ultimate I Spy,Wii,2008,Adventure,Scholastic Inc.,0.45,0.0,0.0,0.03,0.49,0.48,0.010000000000000009,0.3987761199573678,0.37156355643248307,0.0,0.0,Shooter Boom,0.0003262170924304182
4038,SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006,Platform,THQ,0.45,0.0,0.0,0.04,0.49,0.49,0.0,0.3987761199573678,0.37156355643248307,0.0,0.0,Shooter Boom,0.038201030442444536
4039,The Sims,GC,2003,Simulation,Electronic Arts,0.35,0.13,0.0,0.01,0.49,0.49,0.0,0.3987761199573678,0.30010459245033805,0.12221763272424921,0.0,Transition,0.12446919658671544
4040,Grandia III,PS2,2005,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49,0.49,0.0,0.3987761199573678,0.11332868530700317,0.09531017980432487,0.2151113796169455,Shooter Boom,0.016274981951562927
4041,FIFA Soccer 09,DS,2008,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49,0.49,0.0,0.3987761199573678,0.11332868530700317,0.27002713721306015,0.0,Shooter Boom,0.12446919658671544
4042,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,Shooter Boom,0.028484020967575588
4043,Mario & Wario,SNES,1993,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,RPG Dominance,0.20027711637542542
4044,Scarface: The World is Yours,XB,2006,Action,Vivendi Games,0.37,0.11,0.0,0.02,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.31481073984003355,0.10436001532424277,0.0,Shooter Boom,0.006525462869544551
4045,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009,Shooter,Activision,0.24,0.2,0.0,0.05,0.49,0.49,0.0,0.3987761199573678,0.2151113796169455,0.18232155679395462,0.0,Shooter Boom,0.08154978902385981
4046,Pokemon Art Academy,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,0.49,0.0,0.3987761199573678,0.16551443847757338,0.11332868530700317,0.14842000511827327,Post-Peak,0.20027711637542542
4047,FIFA Soccer 64,N64,1997,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49,0.49,0.0,0.3987761199573678,0.14842000511827327,0.26236426446749106,0.0,RPG Dominance,0.12446919658671544
4048,Dragon Ball Z: Burst Limit,X360,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49,0.49999999999999994,-0.009999999999999953,0.3987761199573678,0.2151113796169455,0.16551443847757338,0.0295588022415444,Shooter Boom,0.01762469115873208
4049,Bakugan Battle Brawlers: Defenders of the Core,DS,2010,Action,Activision,0.42,0.02,0.02,0.03,0.49,0.49,0.0,0.3987761199573678,0.35065687161316933,0.019802627296179712,0.019802627296179712,Shooter Boom,0.08154978902385981
4050,Medal of Honor,PC,2010,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49,0.5,-0.010000000000000009,0.3987761199573678,0.18232155679395462,0.20701416938432615,0.0,Shooter Boom,0.12446919658671544
4051,Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.17,0.0,0.04,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.2468600779315258,0.15700374880966475,0.0,Post-Peak,0.009208065969840052
4052,J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997,Sports,Sega,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,RPG Dominance,0.030602750536969026
4053,Terraria,PS3,2013,Action,505 Games,0.07,0.26,0.09,0.07,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.06765864847381481,0.23111172096338664,0.08617769624105233,Post-Peak,0.0062676280542215395
4054,Backyard Baseball,PS2,2004,Sports,Atari,0.24,0.19,0.0,0.06,0.49,0.49,0.0,0.3987761199573678,0.2151113796169455,0.173953307123438,0.0,Transition,0.01762469115873208
4055,WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0.0,0.15,0.0,0.33,0.49,0.48,0.010000000000000009,0.3987761199573678,0.0,0.13976194237515868,0.0,Shooter Boom,0.06810202187336051
4056,Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,Universal Interactive,0.24,0.19,0.0,0.06,0.49,0.49,0.0,0.3987761199573678,0.2151113796169455,0.173953307123438,0.0,Transition,0.001992054203604306
4057,Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,0.4799999999999999,0.010000000000000064,0.3987761199573678,0.3074846997479606,0.039220713153281295,0.039220713153281295,Post-Peak,0.013447767150499303
4058,LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,0.28,0.17,0.0,0.04,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.2468600779315258,0.15700374880966475,0.0,Post-Peak,0.01725139118698181
4059,Taiko no Tatsujin: Appare Sandaime,PS2,2003,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,Transition,0.028484020967575588
4060,Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0.0,0.05,0.49,0.49,0.0,0.3987761199573678,0.1310282624064041,0.26236426446749106,0.0,Shooter Boom,0.01762469115873208
4061,One Piece: Grand Battle!,PS,2001,Fighting,Atari,0.0,0.0,0.46,0.03,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3784364357202451,Transition,0.01762469115873208
4062,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0.0,0.22,0.49,0.48,0.010000000000000009,0.3987761199573678,0.22314355131420976,0.009950330853168083,0.0,Shooter Boom,0.08154978902385981
4063,Football Manager Handheld 2009,PSP,2008,Sports,Sega,0.0,0.47,0.0,0.02,0.49,0.49,0.0,0.3987761199573678,0.0,0.3852624007906449,0.0,Shooter Boom,0.030602750536969026
4064,Sniper: Art of Victory,PC,2008,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49,0.48,0.010000000000000009,0.3987761199573678,0.0,0.37156355643248307,0.0,Shooter Boom,0.0005167906515822089
4065,Crazy Taxi,GC,2001,Racing,Acclaim Entertainment,0.36,0.09,0.02,0.01,0.49,0.48,0.010000000000000009,0.3987761199573678,0.3074846997479606,0.08617769624105233,0.019802627296179712,Transition,0.007190228284703445
4066,Spy Hunter 2,PS2,2003,Racing,Midway Games,0.24,0.19,0.0,0.06,0.49,0.49,0.0,0.3987761199573678,0.2151113796169455,0.173953307123438,0.0,Transition,0.007830331239266224
4067,F1 2014,PS3,2014,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49,0.48000000000000004,0.009999999999999953,0.3987761199573678,0.06765864847381481,0.27002713721306015,0.019802627296179712,Post-Peak,0.005366327221527189
4068,Pac-Man World 2,XB,2002,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49,0.49,0.0,0.3987761199573678,0.3074846997479606,0.10436001532424277,0.0,Transition,0.028484020967575588
4069,Bass Pro Shops: The Strike,Wii,2009,Sports,XS Games,0.45,0.0,0.0,0.03,0.49,0.48,0.010000000000000009,0.3987761199573678,0.37156355643248307,0.0,0.0,Shooter Boom,0.0001636690566833026
4070,Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Fox Interactive,0.27,0.18,0.0,0.03,0.49,0.48,0.010000000000000009,0.3987761199573678,0.23901690047049992,0.16551443847757338,0.0,RPG Dominance,0.000828434471842196
4071,Jake Power: Fireman,DS,2008,Adventure,Ubisoft,0.08,0.35,0.0,0.06,0.49,0.49,0.0,0.3987761199573678,0.07696104113612832,0.30010459245033805,0.0,Shooter Boom,0.053217105882669466
4072,Asphalt 3D,3DS,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.23901690047049992,0.14842000511827327,0.019802627296179712,Shooter Boom,0.053217105882669466
4073,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,Transition,0.002579469174166297
4074,Steel Diver,3DS,2011,Action,Nintendo,0.31,0.1,0.05,0.03,0.49,0.49,0.0,0.3987761199573678,0.27002713721306015,0.09531017980432487,0.04879016416943201,Shooter Boom,0.20027711637542542
4075,Tales of Legendia,PS2,2005,Role-Playing,Namco Bandai Games,0.07,0.05,0.35,0.02,0.49,0.49,0.0,0.3987761199573678,0.06765864847381481,0.04879016416943201,0.30010459245033805,Shooter Boom,0.028484020967575588
4076,SimCity 2000,SNES,1995,Simulation,THQ,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.3987761199573678,0.0,0.0,0.3987761199573678,RPG Dominance,0.038201030442444536
4077,Crash of the Titans,DS,2007,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.49,0.48,0.010000000000000009,0.3987761199573678,0.35065687161316933,0.019802627296179712,0.0,Shooter Boom,0.006525462869544551
4078,Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0.0,0.03,0.49,0.49,0.0,0.3987761199573678,0.009950330853168083,0.37156355643248307,0.0,Shooter Boom,0.053217105882669466
4079,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49,0.49,0.0,0.3987761199573678,0.11332868530700317,0.20701416938432615,0.06765864847381481,Post-Peak,0.12446919658671544
4080,Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49,0.48,0.010000000000000009,0.3987761199573678,0.32208349916911333,0.058268908123975775,0.0,Shooter Boom,0.12446919658671544
4081,Rayman Raving Rabbids: TV Party,DS,2008,Misc,Ubisoft,0.44,0.01,0.0,0.04,0.49,0.49,0.0,0.3987761199573678,0.36464311358790924,0.009950330853168083,0.0,Shooter Boom,0.053217105882669466
4082,F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49,0.49000000000000005,-5.551115123125783e-17,0.3987761199573678,0.173953307123438,0.1906203596086497,0.009950330853168083,Shooter Boom,0.01725139118698181
4083,Sonic & All-Stars Racing Transformed,PSV,2012,Racing,Sega,0.12,0.25,0.0,0.11,0.48,0.48,0.0,0.3920420877760237,0.11332868530700317,0.22314355131420976,0.0,Post-Peak,0.030602750536969026
4084,Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.02,0.0,0.04,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.3576744442718159,0.019802627296179712,0.0,Shooter Boom,0.027553573590540375
4085,Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.2851789422336624,0.10436001532424277,0.009950330853168083,Shooter Boom,0.12446919658671544
4086,Scrabble 2007 Edition,DS,2007,Puzzle,Ubisoft,0.0,0.48,0.0,0.0,0.48,0.48,0.0,0.3920420877760237,0.0,0.3920420877760237,0.0,Shooter Boom,0.053217105882669466
4087,Shrek the Third,PS2,2007,Action,Activision,0.4,0.02,0.0,0.07,0.48,0.49000000000000005,-0.010000000000000064,0.3920420877760237,0.33647223662121295,0.019802627296179712,0.0,Shooter Boom,0.08154978902385981
4088,Metal Gear Solid HD Edition,PSV,2012,Action,Konami Digital Entertainment,0.16,0.18,0.05,0.09,0.48,0.48,0.0,0.3920420877760237,0.14842000511827327,0.16551443847757338,0.04879016416943201,Post-Peak,0.031796637834008185
4089,Children of Mana,DS,2006,Role-Playing,Nintendo,0.16,0.01,0.29,0.02,0.48,0.48,0.0,0.3920420877760237,0.14842000511827327,0.009950330853168083,0.2546422183735807,Shooter Boom,0.20027711637542542
4090,Madagascar: Operation Penguin,GBA,2005,Action,Activision,0.35,0.13,0.0,0.01,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.30010459245033805,0.12221763272424921,0.0,Shooter Boom,0.08154978902385981
4091,Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.13976194237515868,0.23901690047049992,0.0,Shooter Boom,0.028484020967575588
4092,The Sims 2: Pets,Wii,2007,Simulation,Electronic Arts,0.42,0.03,0.0,0.04,0.48,0.48999999999999994,-0.009999999999999953,0.3920420877760237,0.35065687161316933,0.0295588022415444,0.0,Shooter Boom,0.12446919658671544
4093,Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.14,0.17,0.03,0.48,0.4900000000000001,-0.01000000000000012,0.3920420877760237,0.13976194237515868,0.1310282624064041,0.15700374880966475,Post-Peak,0.20027711637542542
4094,Need for Speed: Porsche Unleashed,GBA,2004,Racing,Zoo Digital Publishing,0.35,0.13,0.0,0.01,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.30010459245033805,0.12221763272424921,0.0,Transition,0.0014427539448726742
4095,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.45,0.03,0.48,0.48,0.0,0.3920420877760237,0.0,0.0,0.37156355643248307,RPG Dominance,0.031796637834008185
4096,NFL Street 2,XB,2004,Sports,Electronic Arts,0.36,0.11,0.0,0.02,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.3074846997479606,0.10436001532424277,0.0,Transition,0.12446919658671544
4097,Silent Hill: Shattered Memories,Wii,2009,Action,Konami Digital Entertainment,0.23,0.19,0.01,0.05,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.20701416938432615,0.173953307123438,0.009950330853168083,Shooter Boom,0.031796637834008185
4098,Millipede,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.37156355643248307,0.0295588022415444,0.0,Early Emergence,0.01762469115873208
4099,The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48,0.48,0.0,0.3920420877760237,0.0,0.0,0.3920420877760237,RPG Dominance,0.031796637834008185
4100,You're in the Movies,X360,2008,Misc,Microsoft Game Studios,0.27,0.17,0.0,0.05,0.48,0.49000000000000005,-0.010000000000000064,0.3920420877760237,0.23901690047049992,0.15700374880966475,0.0,Shooter Boom,0.027553573590540375
4101,Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.1988508587451652,0.18232155679395462,0.009950330853168083,Shooter Boom,0.0027050235190192408
4102,James Bond 007: Blood Stone,X360,2010,Shooter,Activision,0.2,0.24,0.0,0.05,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.18232155679395462,0.2151113796169455,0.0,Shooter Boom,0.08154978902385981
4103,Jeopardy!,PS2,2003,Misc,Atari,0.24,0.18,0.0,0.06,0.48,0.48,0.0,0.3920420877760237,0.2151113796169455,0.16551443847757338,0.0,Transition,0.01762469115873208
4104,Destroy All Humans! 2,PS2,2006,Action,THQ,0.4,0.02,0.0,0.07,0.48,0.49000000000000005,-0.010000000000000064,0.3920420877760237,0.33647223662121295,0.019802627296179712,0.0,Shooter Boom,0.038201030442444536
4105,ECW Hardcore Revolution,PS,1999,Fighting,Acclaim Entertainment,0.27,0.18,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.23901690047049992,0.16551443847757338,0.0,RPG Dominance,0.007190228284703445
4106,Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,System 3 Arcade Software,0.42,0.03,0.0,0.04,0.48,0.48999999999999994,-0.009999999999999953,0.3920420877760237,0.35065687161316933,0.0295588022415444,0.0,Shooter Boom,0.00020178376851366075
4107,Tiger Woods PGA Tour 07,X360,2006,Sports,Electronic Arts,0.44,0.0,0.0,0.04,0.48,0.48,0.0,0.3920420877760237,0.36464311358790924,0.0,0.0,Shooter Boom,0.12446919658671544
4108,Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,0.27,0.18,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.23901690047049992,0.16551443847757338,0.0,RPG Dominance,0.08154978902385981
4109,World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0.0,0.04,0.48,0.48,0.0,0.3920420877760237,0.07696104113612832,0.3074846997479606,0.0,Post-Peak,5.3809004936976195e-05
4110,Rock Band Unplugged,PSP,2009,Misc,MTV Games,0.24,0.15,0.0,0.1,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.2151113796169455,0.13976194237515868,0.0,Shooter Boom,0.0023507809031841475
4111,OkamiDen,DS,2010,Adventure,Capcom,0.25,0.07,0.13,0.03,0.48,0.48,0.0,0.3920420877760237,0.22314355131420976,0.06765864847381481,0.12221763272424921,Shooter Boom,0.022520189587060726
4112,Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.22,0.21,0.0,0.05,0.48,0.48,0.0,0.3920420877760237,0.1988508587451652,0.1906203596086497,0.0,Shooter Boom,0.006525462869544551
4113,2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48,0.48,0.0,0.3920420877760237,0.08617769624105233,0.2151113796169455,0.0295588022415444,Shooter Boom,0.12446919658671544
4114,Secret Weapons Over Normandy,PS2,2003,Simulation,LucasArts,0.24,0.18,0.0,0.06,0.48,0.48,0.0,0.3920420877760237,0.2151113796169455,0.16551443847757338,0.0,Transition,0.009790996856657295
4115,Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,Take-Two Interactive,0.44,0.01,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.36464311358790924,0.009950330853168083,0.0,Shooter Boom,0.04478927048441557
4116,All-Star Baseball 99,N64,1998,Sports,Acclaim Entertainment,0.44,0.04,0.0,0.0,0.48,0.48,0.0,0.3920420877760237,0.36464311358790924,0.039220713153281295,0.0,RPG Dominance,0.007190228284703445
4117,Harvest Moon 64,N64,1999,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,0.48,0.48,0.0,0.3920420877760237,0.22314355131420976,0.058268908123975775,0.10436001532424277,RPG Dominance,5.3809004936976195e-05
4118,NCAA Football 09,PS2,2008,Sports,Electronic Arts,0.4,0.02,0.0,0.07,0.48,0.49000000000000005,-0.010000000000000064,0.3920420877760237,0.33647223662121295,0.019802627296179712,0.0,Shooter Boom,0.12446919658671544
4119,Bratz: The Movie,PS2,2007,Simulation,THQ,0.24,0.18,0.0,0.06,0.48,0.48,0.0,0.3920420877760237,0.2151113796169455,0.16551443847757338,0.0,Shooter Boom,0.038201030442444536
4120,FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.18,0.26,0.0,0.04,0.48,0.48,0.0,0.3920420877760237,0.16551443847757338,0.23111172096338664,0.0,Post-Peak,0.12446919658671544
4121,Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.41,0.07,0.0,0.0,0.48,0.48,0.0,0.3920420877760237,0.3435897043900769,0.06765864847381481,0.0,Shooter Boom,0.0019404872405397041
4122,Vigilante 8: 2nd Offense,PS,1999,Racing,Activision,0.27,0.18,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.23901690047049992,0.16551443847757338,0.0,RPG Dominance,0.08154978902385981
4123,Two Worlds II,PS3,2011,Role-Playing,Unknown,0.26,0.11,0.06,0.05,0.48,0.48,0.0,0.3920420877760237,0.23111172096338664,0.10436001532424277,0.058268908123975775,Shooter Boom,0.005553537717870418
